Año,Mes, Siniestro ocurrido 
2016,6," 242,818.99 "
2018,7," 302,229.25 "
2016,12," 2,076,606.71 "
2019,4," 384,111.29 "
2019,5," 101,577.45 "
2017,2," 1,453,557.52 "
2018,12," 1,606,457.76 "
2017,6," 110,792.82 "
2017,4," 228,917.59 "
2018,11," 1,635,889.50 "
2019,7," 682,913.47 "
2018,6," 611,861.91 "
2018,12," 82,395.84 "
2018,9," 198,312.65 "
2019,10," 393,240.35 "
2019,2," 83,759.78 "
2020,1," 82,247.91 "
2017,12," 696,416.43 "
2019,2," 41,953.84 "
2019,2," 167,121.63 "
2019,11," 295,988.77 "
2018,11," 122,454.36 "
2017,2," 77,597.80 "
2020,2," 555,671.34 "
2019,5," 138,968.13 "
2017,12," 138,436.36 "
2018,11," 107,581.30 "
2020,9," 127,092.68 "
2018,8," 30,028.02 "
2016,7," 338,985.57 "
2019,6," 177,049.40 "
2019,5," 62,504.45 "
2018,6," 128,715.79 "
2018,11," 40,864.67 "
2020,7," 121,051.62 "
2020,5," 3,368,460.24 "
2019,7," 92,403.21 "
2019,4," 267,440.90 "
2018,8," 487,629.47 "
2019,2," 278,866.00 "
2018,4," 81,262.80 "
2016,8," 283,533.39 "
2019,5," 1,791,722.61 "
2019,8," 76,725.24 "
2020,7," 157,499.46 "
2019,10," 633,148.99 "
2020,9," 323,626.69 "
2016,2," 150,623.73 "
2017,11," 856,693.11 "
2017,12," 427,291.78 "
2018,7," 653,778.88 "
2019,1," 1,305,692.78 "
2018,12," 56,410.63 "
2020,2," 365,574.73 "
2016,9," 684,940.92 "
2018,11," 290,903.99 "
2019,1," 79,195.84 "
2018,1," 870,283.23 "
2019,4," 130,647.55 "
2020,5," 63,332.77 "
2019,7," 270,341.30 "
2018,11," 41,783.74 "
2017,11," 1,021,544.33 "
2020,3," 74,823.09 "
2019,12," 330,269.55 "
2017,6," 476,927.68 "
2017,2," 72,636.20 "
2019,5," 222,731.01 "
2016,7," 790,810.54 "
2018,9," 1,257,392.91 "
2019,5," 586,242.23 "
2018,6," 872,234.13 "
2017,1," 807,130.56 "
2019,10," 856,642.55 "
2019,6," 361,933.06 "
2016,2," 440,286.71 "
2018,12," 264,025.27 "
2019,7," 610,438.24 "
2019,12," 263,418.06 "
2017,7," 918,569.40 "
2018,7," 332,826.93 "
2016,1," 134,237.01 "
2020,8," 188,092.82 "
2017,1," 417,515.99 "
2017,5," 628,798.13 "
2019,1," 929,817.57 "
2019,7," 87,789.60 "
2016,12," 1,423,050.84 "
2016,3," 266,922.47 "
2017,6," 175,170.72 "
2019,1," 71,955.14 "
2018,12," 1,839,989.03 "
2019,4," 133,340.77 "
2018,9," 107,132.23 "
2017,2," 75,858.02 "
2020,3," 626,242.33 "
2018,12," 259,861.79 "
2018,5," 1,284,109.73 "
